Name,Tag,Type,Units,Unnamed: 4
Net Cash From Continuing Financing Activities,netcashfromcontinuingfinancingactivities,Metric,USD,"Cash flow from continuing financing activities is an item on the cash flow statement that reports the aggregate change in a company's cash position resulting from any financing activity including the issuance and repurchase of equity, issuance and repayment ..."
Net Cash From Continuing Investing Activities,netcashfromcontinuinginvestingactivities,Metric,USD,Cash flow from continuing investing activities is an item on the cash flow statement that reports the aggregate change in a company's cash position resulting from any gains (or losses) from investments in the financial markets and operating subsidiaries and ...
Net Cash From Continuing Operating Activities,netcashfromcontinuingoperatingactivities,Metric,USD,"Cash flow from operating activities (CFO) is an accounting item indicating the money a company brings in from ongoing, regular business activities, such as manufacturing and selling goods or providing a service. Cash flow from operating activities does not ..."
Net Cash From Discontinued Financing Activities,netcashfromdiscontinuedfinancingactivities,Metric,USD,Cash flow from discontinued financing activities is an item on the cash flow statement that reports the aggregate change in financing activities by discontinued operations.
Net Cash From Discontinued Investing Activities,netcashfromdiscontinuedinvestingactivities,Metric,USD,Cash flow from discontinued investing activities is an item on the cash flow statement that reports the aggregate change in investment activities by discontinued operations.
Net Cash From Discontinued Operating Activities,netcashfromdiscontinuedoperatingactivities,Metric,USD,Net cash from discontinued operating activities reflects all cash flow from discontinued meet income and other non cash adjustments and changes in operating capital.
Net Cash From Financing Activities,netcashfromfinancingactivities,Metric,USD,"A category in a company s cash flow statement that accounts for external activities that allow a firm to raise capital and repay investors, such as issuing cash dividends, adding or changing loans or issuing more stock. Cash flow from financing activities ..."
Net Cash From Investing Activities,netcashfrominvestingactivities,Metric,USD,Cash flow from investing activities is an item on the cash flow statement that reports the aggregate change in a company's cash position resulting from any gains (or losses) from investments in the financial markets and operating subsidiaries and changes ...
Net Cash From Operating Activities,netcashfromoperatingactivities,Metric,USD,"Cash flow from operating activities (CFO) is an accounting item indicating the money a company brings in from ongoing, regular business activities, such as manufacturing and selling goods or providing a service. Cash flow from operating activities does not ..."
Net Change in Cash & Equivalents,netchangeincash,Metric,USD,"Cash and cash equivalents refer to the line item on the balance sheet that reports the value of a company's assets that are cash or can be converted into cash immediately. These include bank accounts, marketable securities, commercial paper, Treasury bills ..."
Net Change in Deposits,netchangeindeposits,Metric,USD,The net change in deposits are the increase or (decrease) in the deposits of customers with the bank or financial institution including both interest bearing deposits and non-interest bearing deposits.
Consolidated Net Income / (Loss),netincome,Metric,USD,"Net income (NI) is a company's total earnings (or profit); net income is calculated by taking revenues and subtracting the costs of doing business such as depreciation, interest, taxes and other expenses. This number appears on a company's income statement ..."
Net Income / (Loss) Continuing Operations,netincomecontinuing,Metric,USD,"Net income from continuing operations is a line item on the income statement that notes the after-tax earnings that a business has generated from its operational activities. Since one-time events and the results of discontinued operations are excluded, this ..."
Net Income / (Loss) Discontinued Operations,netincomediscontinued,Metric,USD,"A discontinued operation occurs when a segment or certain product line in a company's business has been sold, disposed of or abandoned and is subsequently reported on the company's income statement as income separate from continued operations. Because ..."
Net Increase in Fed Funds Sold,netincreaseinfedfundssold,Metric,USD,"Federal funds sold and federal funds purchased consist of unsecured advances of excess balances in reserve accounts held at Federal Reserve banks. When the Company advances federal funds to a third party, it is selling its excess reserves. Similarly, when ..."
Non-Cash Adjustments to Reconcile Net Income,noncashadjustmentstonetincome,Metric,USD,The first adjustments made to the net income balance involve non-cash transactions that have increased or decreased the amount of net income or loss reported by the entity during the financial reporting period. The most common non-cash transaction to be ...
"Other Financing Activities, Net",otherfinancingactivitiesnet,Metric,USD,Other financing activities are all amounts that are not classified by other line items in the financing activities section.
"Other Investing Activities, net",otherinvestingactivitiesnet,Metric,USD,Other investment activities are all amounts that are not classified by other line items in the investing activities section.
Other Net Changes in Cash,othernetchangesincash,Metric,USD,Represents all other adjustments to cash to reconcile change in cash.
Payment of Dividends,paymentofdividends,Metric,USD,"A cash dividend is money paid to stockholders, normally out of the corporation's current earnings or accumulated profits. Not all companies pay a dividend. Usually, the board of directors determines if a dividend is desirable for their particular company ..."
Provision For Loan Losses,provisionforloanlosses,Metric,USD,"A loan loss provision is an expense set aside as an allowance for uncollected loans and loan payments. This provision is used to cover a number of factors associated with potential loan losses including bad loans, customer defaults and renegotiated terms of ..."
Purchase of Investment Securities,purchaseofinvestments,Metric,USD,The purchase of investment is the total amount paid by the company to accumulate new investments not held until the current period.
"Purchase of Property, Leasehold Improvements and Equipment",purchaseofplantpropertyandequipment,Metric,USD,"Property, plant and equipment (PP&E) is a company asset that is vital to business operations but cannot be easily liquidated, and depending on the nature of a company's business, the total value of PP&E can range from very low to extremely high compared to ..."
Repayment of Debt,repaymentofdebt,Metric,USD,Repayment is the act of paying back money previously borrowed from a lender. Repayment usually takes the form of periodic payments that normally include part principal plus interest in each payment. Failure to keep up with repayments of debt can force a ...
Repurchase of Common Equity,repurchaseofcommonequity,Metric,USD,Stock repurchase may be viewed as an alternative to paying dividends in that it is another method of returning cash to investors. A stock repurchase occurs when a company asks stockholders to tender their shares for repurchase by the company. There are ...
Repurchase of Preferred Equity,repurchaseofpreferredequity,Metric,USD,Stock repurchase may be viewed as an alternative to paying dividends in that it is another method of returning cash to investors. A stock repurchase occurs when a company asks stockholders to tender their shares for repurchase by the company. There are ...
Sale and/or Maturity of Investments,saleofinvestments,Metric,USD,The sale of investment are the total amount of proceeds from the sale or maturity of investments during the period.
"Sale of Property, Leasehold Improvements and Equipment",saleofplantpropertyandequipment,Metric,USD,The sale of PP&E is the amount received by the company from the sale of PP&E during the period.
